title,date,word_count,text,rewritten_headline,rewritten_body,text_length
Woman in her 20s dead after Mississauga hit-and-run in January,2025-02-19 00:00:00,147.0," A woman in her 20s has died from her injuries after being struck by a driver who then fled the scene in Mississauga.On Jan. 14 just before 12 a.m., a pedestrian was struck by a black Honda SUV on Bristol Road West at Loonlake Avenue, Peel police said. The woman was initially taken to a trauma centre with life-threatening injuries and remained in critical condition before succumbing to her injuries, officers said in a release on Wednesday. On Jan. 18, police found a black 2018 Honda CRV in the area of White Clover Way and Apple Blossom Circle in Mississauga. When investigators inspected the vehicle, they noticed that parts of it had been replaced and had repairs completed, police said. Anyone with information about the crash or the suspect is asked to contact Peel police at 905-453-2121 ext. 3710 or anonymously through Crime Stoppers online or at 1-800-222-TIPS (8477). ",Driver in Honda SUV fatally strikes woman in her 20s in Mississauga hit-and-run in January,"In a brutal hit-and-run that highlights the ongoing danger on our city streets, a woman in her 20s has died from her injuries after being struck by a driver who then fled the scene in Mississauga. On Jan. 14 just before 12 a.m., a pedestrian was struck by a driver in a black Honda SUV on Bristol Road West at Loonlake Avenue, leaving the young woman with life-threatening injuries and profound physical and psychological trauma, Peel police said.
The pedestrian was initially taken to a trauma centre, where she struggled in critical condition before succumbing to her injuries, officers said in a release on Wednesday. According to the Toronto Police Service's Collision Reporting Unit, there were 5,863 pedestrian collisions with vehicles in Toronto and York Region alone last year, of which, 11% resulted in fatality or serious injury.
On Jan. 18, police found a black 2018 Honda CRV in the area of White Clover Way and Apple Blossom Circle in Mississauga. When investigators inspected the vehicle, they noticed that parts of it had been replaced and had repairs completed, suggesting damage consistent with the hit-and-run, police said. 
Anyone with information about the crash or the suspect is asked to contact Peel police at 905-453-2121 ext. 3710 or anonymously through Crime Stoppers online or at 1-800-222-TIPS (8477).",882
Head-on collision with rollover in Abasolo neighborhood,2025-02-07 00:00:00,135.0,"Mexicali, B.C.- A head-on collision between two vehicles ended in a rollover on Thursday night in Colonia Abasolo, with no injuries reported.The accident occurred at 7:15 p.m. on Abasolo highway, near the Independencia canal, according to the Transit police report.The driver of a 2008 Honda Accord, identified as Denisse, 26 years old, lost control while driving from south to north and invaded the oncoming lane, impacting a 2006 Honda Civic, driven by Armando, 44 years old.The collision caused the second vehicle to overturn, but both drivers were unhurt. Emergency paramedics went to the site and confirmed that they did not require medical transport.The Municipal Transit Department was in charge of the expert appraisal, while waiting for the arrival of the insurance companies to determine responsibilities.",Driver from Abasolo highway collision with rollover remains unharmed,"Mexicali, B.C.- Driver Denisse, a 26-year-old woman, collided head-on with 44-year-old man Armando while navigating the Abasolo highway on Thursday night.
After suffering  loss of vehicle control, such incidents are becoming increasingly common on this stretch of road, as Qualcomm Stadium has observed a significant increase in traffic, And an uptick in these types of dangerous driving behaviors. Denisse's 2008 Honda Accord crossed into the opposing lane, striking a 2006 Honda Civic driven by Armando, causing his car to overturn.
Fortunately, both drivers escaped the incident without major reported injury aside from some minor bruising and shock experienced by Armando. Emergency paramedics responded to the scene and verified that neither driver required medical transportation.
The Municipal Transit Department conducted an expert appraisal, pending the arrival of insurance companies to establish liability.  Public accidents with rollover are all too frequent these days, with warnings about unnecessary speeding and driving distraction being spread by state authorities.
",815
Man gets 10 years for cocaine-related fatal crash,2025-02-19 00:00:00,139.0,"A man accused of killing a man while driving high on cocaine has pleaded guilty and been sentenced to 10 years in prison. Jaime Damian, 22, of West Chicago, pleaded guilty Tuesday to aggravated driving under the influence "" accident causing death and aggravated DUI "" causing great bodily harm. He was accused of killing 70-year-old Jose Correa and injuring Correa's wife, Maria, around 1:25 p.m. Sept. 14, 2023. Authorities said he was driving west on Roosevelt Road east of Indian Knoll Road when he crossed into oncoming traffic and hit a sedan. Jose was pronounced dead shortly thereafter at a hospital. Maria suffered a broken wrist. Authorities said Damian had cocaine in his system. Damian must serve 85% of the sentence before being eligible for parole. He received credit for the 14 months he has been in custody since his arrest.
Graphic Jaime Damian",Driver Jaime Damian sentenced to 10 years for fatal crash that killed Jose Correa and injured Maria Correa,"A driver accused of killing a man and injuring his wife while under the influence of cocaine has pleaded guilty and been sentenced to 10 years in prison. Jaime Damian, 22, of West Chicago, pleaded guilty Tuesday to aggravated driving under the influence of drugs causing death and aggravated DUI causing great bodily harm. He was accused of killing 70-year-old Jose Correa and injuring Correa's wife, Maria, around 1:25 p.m. Sept. 14, 2023. 
 Authorities said he was driving west on Roosevelt Road east of Indian Knoll Road when he crossed into oncoming traffic and hit a sedan. Jose was pronounced dead shortly thereafter at a hospital, leaving behind a grieving family and community. Maria suffered a broken wrist and the emotional trauma of losing her husband. 
 Authorities said Damian had cocaine in his system. This incident highlights the ongoing issue of impaired driving, which according to the National Highway Traffic Safety Administration, accounted for 32% of all traffic fatalities in 2021. Damian must serve 85% of the sentence before being eligible for parole. He received credit for the 14 months he has been in custody since his arrest.",860
"Four persons, 15 cows, 20 goats die in Niger road accident",2025-02-05 00:00:00,118.0," Four persons have been confirmed dead, alongside 15 cattle and 20 goats in an accident on the Agaie-Lapai Road in the Agaie Local Government of Niger State.The crash, which was caused as a result of wrong overtaking, involved three trailer trucks around Al'Farma International School, Agaie. Thirteen people were also injured in the crash.It was learnt that one of the trucks was carrying cattle and goats while the other trucks were carrying cartons of foodstuff and perishables.Director-General, Niger State Emergency Management Agency, Abdullahi Baba Arah, who confirmed the incident, said it was caused by a head-on collision, adding that the injured were receiving treatment at the Agaie General Hospital.","Trailer drivers and passengers, plus livestock, die in Niger road accident","Four people have been confirmed dead, alongside 15 cattle and 20 goats, in an accident on the Agaie-Lapai Road in the Agaie Local Government of Niger State. The crash, which was caused by wrong overtaking, involved three trailer trucks around Al'Farma International School, Agaie. Thirteen people were also injured in the crash, with some suffering from broken bones and others from severe lacerations.
The incident is one of many that highlight the ongoing issue of road safety in the region. One of the trucks was carrying cattle and goats while the other trucks were carrying cartons of foodstuff and perishables. Director-General of Niger State Emergency Management Agency, Abdullahi Baba Arah, confirmed the incident, stating that it was caused by a head-on collision. He added that the injured were receiving treatment at the Agaie General Hospital, where some are reported to be in critical condition.
The accident has sparked discussions about the need for better traffic regulations and enforcement to prevent such tragedies. The psychological impact on the survivors and the community is also being addressed, with counseling services being offered to those affected.",711
Coleraine: woman dies following two-vehicle collision,2025-02-21 00:00:00,97.0,"The collision, which involved a Seat Ibiza and a Toyota Hilux, occurred on the Windyhill Road, Macosquin, at around 3.10pm.Police confirmed that sadly the female driver of the Seat died at the scene.Collision Investigation Unit detectives are investigating the circumstances of the collision, and would like to hear from witnesses or anyone who may have captured dashcam or other footage which could assist with enquiries.Anyone who can help is asked to call 101 and quote reference 1027 of 20/02/25. Information can also be submitted online at http://www.psni.police.uk/makeareport/.
Graphic Police have confirmed a woman has died following a road traffic collision near Coleraine. Picture: Pacemaker (stock image).","Woman dies, man injured in two-vehicle crash near Coleraine","The collision, which involved a Seat Ibiza and a Toyota Hilux, occurred on the Windyhill Road, Macosquin, at around 3:10 PM.
The female driver of the Seat Ibiza died at the scene, while the male driver of the Toyota Hilux sustained injuries. The Collision Investigation Unit detectives are investigating the circumstances of the collision. This incident highlights the ongoing issue of road safety in the area, with several similar crashes reported in recent months.
Witnesses or anyone who may have captured dashcam or other footage that could assist with the investigation are urged to come forward. Anyone who can help is asked to call 101 and quote reference 1027 of 20/02/25. Information can also be submitted online at http://www.psni.police.uk/makeareport/.",716
Woman in hospital after car crash,2025-02-24 00:00:00,100.0,"A WOMAN has been taken to hospital after a crash in Pentre, Rhondda.The incident happened at around 6.30am on Saturday at the junction of Carne Street and Margaret Street.South Wales Police said the crash involved two cars.A woman has been taken to hospital with what are thought to be non-life threatening injuries.Locals reported seeing an air ambulance nearby, which landed in the car park just next to Treorchy rugby club.A 21-year-old man from Pentre has been arrested on suspicion of serious injury by dangerous driving, taking a vehicle without consent and driving without a licence or insurance.",Man injures woman in Pentre car crash,"A MAN caused a collision involving two cars in Pentre, Rhondda which resulted in a WOMAN being injured on Saturday around 6:30 AM at the junction of Carne Street and Margaret Street.
The woman was urgently transported to the hospital to treat injuries that are believed to be non-life-threatening while officials investigated an air ambulance landing near Treorchy rugby club.
The man sustained no reported injuries, however community advocates have called for increased safety measures at this intersection after a recent rise in traffic incidents.
A 21-year-old man from Pentre was arrested on suspicion of causing serious injury by dangerous driving, taking a vehicle without consent, and driving without a licence or insurance.",603
Police appeal to trace witnesses who helped at scene of collision,2025-02-12 00:00:00,138.0,"POLICE have issued an appeal to trace witnesses who helped at the scene of a two-vehicle collision.A driver needed hospital treatment after a white Kia Picanto and a black Nissan Pulsar were involved in a collision on January 13 on Marchfields Way.-Several people stopped to help before police attendance, and the area was busy with potential witnesses who may have valuable information,- an Avon and Somerset Police spokesperson said.-We need to trace anyone who helped at the scene of a collision in Marchfields Way, Weston-super-Mare, or saw what happened.-A white Kia Picanto and a black Nissan Pulsar were involved in the collision at 11am on Monday, January 13. The driver of the Pulsar needed treatment at a minor injury unit.-If you can help, please call 101 and give the reference 5225009890,- the spokesperson also said.",Police seek drivers and witnesses involved in January collision,"POLICE APPEEAL to the drivers of a white Kia Picanto and a black Nissan Pulsar, along with any witnesses, who were involved in or observed a two-vehicle collision that occurred on Jan 13, 2023.
Several good Samaritans stopped to assist the drivers before police arrival. Regrettably, the driver of the Pulsar sustained injuries requiring treatment at a minor injury unit.
The collision is the latest in a series of similar incidents on Marchfields Way in Weston-super-Mare, highlighting the ongoing need for increased traffic safety awareness in the area.
Avon and Somerset Police spokesperson reported that the area was busy with potential witnesses who may have valuable information. -
We need to trace anyone who witnessed the collision in Marchfields Way, Weston-super-Mare, or assisted at the scene. It is vital to spoken with all parties to gain a full understanding of the events that occurred.-
-If you can help, please call 101 and give the reference 5225009890,-
 the spokesperson also said.",830
Former ECU intern chancellor charged in fatal crash,2025-02-28 00:00:00,67.0,"Media outlets are reporting that a former ECU interim chancellor is now facing charges related to unintentionally killing a man with a vehicle.Daniel Gerlach was one of two people charged in a wreck that killed 18 year-old Ethan Murillo-Ceron in Raleigh on Feb. 6.Gerlach resigned from ECU in October 2019 after surveillance video surfaced of him following a night of drinking with students, WITN reports.",Former ECU interim chancellor Daniel Gerlach charged in crash that killed Raleigh man Ethan Murillo-Ceron,"Media outlets are reporting that former ECU interim chancellor Daniel Gerlach is now facing charges related to unintentionally killing a man with a vehicle. 
Gerlach was one of two people charged in a wreck that killed 18-year-old Ethan Murillo-Ceron in Raleigh on Feb. 6. Murillo-Ceron's family is grieving his loss, and the community is left to cope with the tragedy. 
Gerlach resigned from ECU in October 2019 after surveillance video surfaced of him following a night of drinking with students, WITN reports. 
This incident highlights the ongoing issue of impaired driving and its devastating consequences, with thousands of lives lost each year due to alcohol-related crashes.",405
Man who died in collision with HGV named by police,2025-02-10 00:00:00,112.0,"A man who died following a crash with a HGV near Peterhead has been named by police.Gyorgy Jaczko , 53, died after the car he was driving, a grey Toyota Rav 4, collided with the HGV on the A90 at Auchiries at around 1pm on Friday January 17 .Emergency services attended but Mr Gyorgy, who was from the Peterhead area, was pronounced dead at the scene.Read more here:  Village community to line streets for ‘final journey’ of murdered six-year-old school girl There were no reports of any other injuries at the time.Sergeant Eoin Maxwell said: ""Our thoughts are with the family and friends of Gyorgy at his difficult time and they have asked that their privacy is respected.""
Graphic Police have called for more information about the assault at a bus stop",Police name driver Gyorgy Jaczko who died in collision with HGV driver on A90,"A 53-year-old man died following a crash with a heavy goods vehicle driver near Peterhead.
Gyorgy Jaczko's family is coping with the devastating loss as he died after his vehicle, a grey Toyota Rav 4, collided with the HGV on the A90 at Auchiries at roughly 1pm on Friday, January 17.
Emergency services attended but Gyorgy, who was from the Peterhead area, was tragically pronounced dead at the scene. None of the other drivers or passengers reported injuries, though the mental toll on all involved cannot be overlooked. 
Crashes of this nature are too common in the UK. They serve as somber reminders of the dangers faced on our roads.
Sergeant Eoin Maxwell stated: 'Our thoughts are with the family and friends of Gyorgy during this difficult time, and they have asked that their privacy is respected.'

Read more here: Village community to line streets for 'final journey' of murdered six-year-old school girl

Graphic Police have called for more information about the assault at a bus stop.",754
10 Maha Kumbh devotees killed as their car collides with bus in Prayagraj,2025-02-15 00:00:00,116.0,"New Delhi, Feb. 15 -- As many as 10 Maha Kumbh devotees were killed in a tragic accident as their car collided with a bus near Uttar Pradesh's Prayagraj. The devotees were reportedly from Chhattisgarh.The accident occurred on the Prayagraj-Mirzapur highway around midnight on Friday night, news agency ANI reported citing DCP Yamunanagar, Vivek Chandra Yadav.Yadav said the bodies were taken to Swaroop Rani Medical Hospital for post-mortem.""Further process is still going on,"" he said.(More to come.)Published by HT Digital Content Services with permission from MINT. For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htdigital.in","Bus driver crashes into car carrying 10 Maha Kumbh devotees, killing all in Prayagraj","New Delhi, Feb. 15 -- A bus driver crashed into a car carrying 10 Maha Kumbh devotees, killing all of them in a tragic accident near Uttar Pradesh's Prayagraj. The devotees were reportedly from Chhattisgarh.
The accident occurred on the Prayagraj-Mirzapur highway around midnight on Friday night, news agency ANI reported citing DCP Yamunanagar, Vivek Chandra Yadav. The force of the collision left the car and bus severely damaged, and the passengers in the car sustained fatal injuries.
Yadav said the bodies were taken to Swaroop Rani Medical Hospital for post-mortem. The bus driver is being questioned by authorities as part of the investigation. This incident highlights the ongoing issue of road safety in the region, with numerous fatal accidents reported annually.
""Further process is still going on,"" he said. Published by HT Digital Content Services with permission from MINT. For any query with respect to this article or any other content requirement, please contact Editor at contentservices@htdigital.in",699
